test_id,direction,speed_mm_s,event_type,image_frame,image_file,t_image_s_est,event_time_s,force_mapping_status,visual_endpoint_evidence,event_alignment_status,event_vfm_ready,X1_Press_N,X2_Press_N,Y1_Press_N,Y2_Press_N,X1_Pos_mm,X2_Pos_mm,Y1_Pos_mm,Y2_Pos_mm
XY_Xy-0.1-01,XY,0.2,visual_last_event,288,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000288.jpg,36.3,,estimated_from_endpoint_time_map,Img000288 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-14.0,-25.0,-18.0,-9.0,13.8291,13.8301,13.8242,13.8281
XY_XY-0.1-02,XY,0.2,load_onset,0,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000000.jpg,0.313,0.313,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-24.0,-23.0,-24.0,-18.0,10.2344,10.2256,10.2275,10.2314
XY_XY-0.1-02,XY,0.2,force_peak,235,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000235.jpg,25.576410852713177,25.612,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-1617.0,-1616.0,-1610.0,-1583.0,12.7646,12.755310852713176,12.7539,12.7637
XY_XY-0.1-02,XY,0.2,force_drop,237,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000237.jpg,25.79141860465116,25.832,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-1435.0,-1421.0,-1408.0,-1381.0,12.929190697674615,12.738516279069804,12.652011627907182,13.440600000000355
XY_XY-0.1-02,XY,0.2,file_last,258,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000258.jpg,28.049,,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-18.0,-18.0,-16.0,-10.0,13.0127,13.002,13.001,13.0107
XY_Xy-03-10-01,XY,20.0,load_onset,0,XY/袁-20250529/Xy-03-10-01/Test1/33061_1_17/Img000000.jpg,0.05,0.05,estimated_from_endpoint_time_map,Img000020 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-80.0,-88.0,-88.0,-81.0,10.543,10.5459,10.584,10.4775
XY_Xy-03-10-01,XY,20.0,force_peak,7,XY/袁-20250529/Xy-03-10-01/Test1/33061_1_17/Img000007.jpg,0.21100000000000002,0.213,estimated_from_endpoint_time_map,Img000020 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-1677.0,-1698.0,-1670.0,-1628.0,12.149400000000002,12.221700000000002,12.296900000000003,12.021500000000001
XY_Xy-03-10-01,XY,20.0,force_drop,9,XY/袁-20250529/Xy-03-10-01/Test1/33061_1_17/Img000009.jpg,0.257,0.268,estimated_from_endpoint_time_map,Img000020 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-551.0,-481.0,-482.0,-441.0,12.6895,12.8516,12.4688,13.0869
XY_Xy-03-10-01,XY,20.0,file_last,20,XY/袁-20250529/Xy-03-10-01/Test1/33061_1_17/Img000020.jpg,0.51,,estimated_from_endpoint_time_map,Img000020 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-9.0,-8.0,-5.0,2.0,15.3037,15.2881,15.2617,15.3291
XY_Xy-03-10-01,XY,20.0,visual_last_event,20,XY/袁-20250529/Xy-03-10-01/Test1/33061_1_17/Img000020.jpg,0.51,,estimated_from_endpoint_time_map,Img000020 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-9.0,-8.0,-5.0,2.0,15.3037,15.2881,15.2617,15.3291
XY_Xy-04-1-01,XY,2.0,load_onset,0,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000000.jpg,0.053,0.053,estimated_from_endpoint_time_map,Img000250/266 可见破坏，需确认最后有效 ROI,event_frames_estimated_endpoint_review,False,-18.0,-21.0,-15.0,-9.0,10.2324,10.2354,10.2393,10.2275
XY_Xy-04-1-01,XY,2.0,force_peak,142,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000142.jpg,2.467533834586466,2.473,estimated_from_endpoint_time_map,Img000250/266 可见破坏，需确认最后有效 ROI,event_frames_estimated_endpoint_review,False,-1508.0,-1534.0,-1548.0,-1490.0,12.661633834586466,12.6631,12.662633834586467,12.660680451127819
XY_Xy-04-1-01,XY,2.0,force_drop,147,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000147.jpg,2.5525526315789473,2.55,estimated_from_endpoint_time_map,Img000250/266 可见破坏，需确认最后有效 ROI,event_frames_estimated_endpoint_review,False,-202.0,-154.0,-153.0,-132.0,12.979126315789475,12.807739473684213,12.95547105263158,13.106952631578947
XY_Xy-04-1-01,XY,2.0,file_last,266,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000266.jpg,4.576,,estimated_from_endpoint_time_map,Img000250/266 可见破坏，需确认最后有效 ROI,event_frames_estimated_endpoint_review,False,-15.0,-21.0,-15.0,-11.0,14.7734,14.7725,14.7695,14.7793
XY_Y-09-0.1-02,Y,0.2,load_onset,0,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000000.jpg,0.525,0.525,estimated_from_endpoint_time_map,Img001824 中部断裂，候选有效末帧,event_frames_estimated_endpoint_review,False,-8.0,-8.0,-31.0,-30.0,0.0938,39.5381,7.0615,7.2344
