node_label,x0_mm,y0_mm,u_mm,v_mm
147,100.0,30.0,0.5,0.15
148,0.0,35.0,2.3076923e-35,0.175
149,5.0,35.0,0.025,0.175
150,10.0,35.0,0.05,0.175
151,15.0,35.0,0.075,0.175
152,20.0,35.0,0.1,0.175
153,25.0,35.0,0.125,0.175
154,30.0,35.0,0.15,0.175
155,35.0,35.0,0.175,0.175
156,40.0,35.0,0.2,0.175
157,45.0,35.0,0.225,0.175
158,50.0,35.0,0.25,0.175
159,55.0,35.0,0.275,0.175
160,60.0,35.0,0.3,0.175
161,65.0,35.0,0.325,0.175
162,70.0,35.0,0.35,0.175
163,75.0,35.0,0.375,0.175
164,80.0,35.0,0.4,0.175
165,85.0,35.0,0.425,0.175
166,90.0,35.0,0.45,0.175
167,95.0,35.0,0.475,0.175
168,100.0,35.0,0.5,0.175
169,0.0,40.0,2.3076923e-35,0.2
170,5.0,40.0,0.025,0.2
171,10.0,40.0,0.05,0.2
172,15.0,40.0,0.075,0.2
173,20.0,40.0,0.1,0.2
174,25.0,40.0,0.125,0.2
175,30.0,40.0,0.15,0.2
176,35.0,40.0,0.175,0.2
177,40.0,40.0,0.2,0.2
178,45.0,40.0,0.225,0.2
179,50.0,40.0,0.25,0.2
180,55.0,40.0,0.275,0.2
181,60.0,40.0,0.3,0.2
182,65.0,40.0,0.325,0.2
183,70.0,40.0,0.35,0.2
184,75.0,40.0,0.375,0.2
185,80.0,40.0,0.4,0.2
186,85.0,40.0,0.425,0.2
187,90.0,40.0,0.45,0.2
188,95.0,40.0,0.475,0.2
189,100.0,40.0,0.5,0.2
190,0.0,45.0,2.3076923e-35,0.225
191,5.0,45.0,0.025,0.225
192,10.0,45.0,0.05,0.225
193,15.0,45.0,0.075,0.225
194,20.0,45.0,0.1,0.225
195,25.0,45.0,0.125,0.225
196,30.0,45.0,0.15,0.225
197,35.0,45.0,0.175,0.225
198,40.0,45.0,0.2,0.225
199,45.0,45.0,0.225,0.225
200,50.0,45.0,0.25,0.225
201,55.0,45.0,0.275,0.225
202,60.0,45.0,0.3,0.225
203,65.0,45.0,0.325,0.225
204,70.0,45.0,0.35,0.225
205,75.0,45.0,0.375,0.225
206,80.0,45.0,0.4,0.225
207,85.0,45.0,0.425,0.225
208,90.0,45.0,0.45,0.225
209,95.0,45.0,0.475,0.225
210,100.0,45.0,0.5,0.225
211,0.0,50.0,2.3076923e-35,0.25
212,5.0,50.0,0.025,0.25
213,10.0,50.0,0.05,0.25
214,15.0,50.0,0.075,0.25
215,20.0,50.0,0.1,0.25
216,25.0,50.0,0.125,0.25
217,30.0,50.0,0.15,0.25
218,35.0,50.0,0.175,0.25
219,40.0,50.0,0.2,0.25
220,45.0,50.0,0.225,0.25
221,50.0,50.0,0.25,0.25
222,55.0,50.0,0.275,0.25
223,60.0,50.0,0.3,0.25
224,65.0,50.0,0.325,0.25
225,70.0,50.0,0.35,0.25
226,75.0,50.0,0.375,0.25
227,80.0,50.0,0.4,0.25
228,85.0,50.0,0.425,0.25
229,90.0,50.0,0.45,0.25
230,95.0,50.0,0.475,0.25
231,100.0,50.0,0.5,0.25
232,0.0,55.0,2.3076923e-35,0.275
233,5.0,55.0,0.025,0.275
234,10.0,55.0,0.05,0.275
235,15.0,55.0,0.075,0.275
236,20.0,55.0,0.1,0.275
237,25.0,55.0,0.125,0.275
238,30.0,55.0,0.15,0.275
239,35.0,55.0,0.175,0.275
240,40.0,55.0,0.2,0.275
241,45.0,55.0,0.225,0.275
242,50.0,55.0,0.25,0.275
243,55.0,55.0,0.275,0.275
244,60.0,55.0,0.3,0.275
245,65.0,55.0,0.325,0.275
246,70.0,55.0,0.35,0.275
247,75.0,55.0,0.375,0.275
248,80.0,55.0,0.4,0.275
249,85.0,55.0,0.425,0.275
250,90.0,55.0,0.45,0.275
251,95.0,55.0,0.475,0.275
252,100.0,55.0,0.5,0.275
253,0.0,60.0,2.3076923e-35,0.3
254,5.0,60.0,0.025,0.3
255,10.0,60.0,0.05,0.3
256,15.0,60.0,0.075,0.3
257,20.0,60.0,0.1,0.3
258,25.0,60.0,0.125,0.3
259,30.0,60.0,0.15,0.3
260,35.0,60.0,0.175,0.3
261,40.0,60.0,0.2,0.3
262,45.0,60.0,0.225,0.3
263,50.0,60.0,0.25,0.3
264,55.0,60.0,0.275,0.3
265,60.0,60.0,0.3,0.3
266,65.0,60.0,0.325,0.3
267,70.0,60.0,0.35,0.3
268,75.0,60.0,0.375,0.3
269,80.0,60.0,0.4,0.3
270,85.0,60.0,0.425,0.3
271,90.0,60.0,0.45,0.3
272,95.0,60.0,0.475,0.3
273,100.0,60.0,0.5,0.3
274,0.0,65.0,2.3076923e-35,0.325
275,5.0,65.0,0.025,0.325
276,10.0,65.0,0.05,0.325
277,15.0,65.0,0.075,0.325
278,20.0,65.0,0.1,0.325
279,25.0,65.0,0.125,0.325
280,30.0,65.0,0.15,0.325
281,35.0,65.0,0.175,0.325
282,40.0,65.0,0.2,0.325
283,45.0,65.0,0.225,0.325
284,50.0,65.0,0.25,0.325
